,PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2010-04-25 00:00:00-07:00,2010-04-25 00:00:00-07:00,76,62,48,53,45,38,83,57,31,30,30,30,10,10,10.0,23,9.0,28,0.0,0.0,None,289
2010-04-26 00:00:00-07:00,2010-04-26 00:00:00-07:00,64,58,51,50,46,43,83,66,48,30,29,29,10,10,10.0,25,11.0,29,0.0,5.0,None,282
2010-04-27 00:00:00-07:00,2010-04-27 00:00:00-07:00,62,57,52,59,52,46,100,81,62,30,29,29,10,8,1.0,26,15.0,33,0,7.0,Rain,214
2010-04-28 00:00:00-07:00,2010-04-28 00:00:00-07:00,58,54,49,47,43,38,80,66,51,30,30,29,10,9,2.0,30,15.0,37,0,6.0,Rain,252
2010-04-29 00:00:00-07:00,2010-04-29 00:00:00-07:00,60,54,48,43,41,38,71,61,51,30,30,30,10,10,10.0,37,18.0,46,0.0,1.0,None,290
2010-04-30 00:00:00-07:00,2010-04-30 00:00:00-07:00,64,56,47,46,42,38,83,63,42,30,30,30,10,10,9.0,28,15.0,38,0.0,1.0,None,271
2010-05-01 00:00:00-07:00,2010-05-01 00:00:00-07:00,65,57,48,48,46,45,86,69,52,30,30,29,10,10,9.0,37,18.0,44,0.0,2.0,None,272
2010-05-02 00:00:00-07:00,2010-05-02 00:00:00-07:00,69,59,49,46,44,43,86,64,42,30,30,29,10,10,10.0,28,17.0,31,0.0,1.0,None,275
2010-05-03 00:00:00-07:00,2010-05-03 00:00:00-07:00,68,59,50,54,48,45,89,71,52,30,30,30,10,10,10.0,36,15.0,41,0.0,1.0,None,271
2010-05-04 00:00:00-07:00,2010-05-04 00:00:00-07:00,70,59,48,51,45,38,93,68,43,30,30,30,10,10,10.0,30,15.0,36,0.0,2.0,None,284
2010-05-05 00:00:00-07:00,2010-05-05 00:00:00-07:00,63,56,49,43,40,36,74,58,42,30,30,30,10,10,10.0,28,19.0,32,0.0,1.0,None,270
2010-05-06 00:00:00-07:00,2010-05-06 00:00:00-07:00,69,58,47,42,36,25,77,49,20,30,30,30,10,10,10.0,26,13.0,32,0.0,3.0,None,286
2010-05-07 00:00:00-07:00,2010-05-07 00:00:00-07:00,63,57,50,46,44,41,86,67,48,30,30,30,10,10,10.0,31,16.0,36,0.0,2.0,None,274
2010-05-08 00:00:00-07:00,2010-05-08 00:00:00-07:00,63,57,50,48,46,42,83,66,48,30,30,30,10,10,10.0,29,16.0,36,0.0,5.0,None,263
2010-05-09 00:00:00-07:00,2010-05-09 00:00:00-07:00,62,58,53,50,48,46,83,70,56,30,30,30,10,10,9.0,23,13.0,28,0,7.0,Rain,262
2010-05-10 00:00:00-07:00,2010-05-10 00:00:00-07:00,59,54,49,53,47,42,89,75,61,30,30,30,10,8,2.0,35,14.0,41,0,6.0,Rain,253
2010-05-11 00:00:00-07:00,2010-05-11 00:00:00-07:00,63,54,45,48,44,39,89,66,43,30,30,30,10,10,10.0,22,12.0,32,0.0,1.0,None,284
2010-05-12 00:00:00-07:00,2010-05-12 00:00:00-07:00,64,57,49,48,47,46,93,75,56,30,30,30,10,10,9.0,28,14.0,33,0.0,4.0,None,277
2010-05-13 00:00:00-07:00,2010-05-13 00:00:00-07:00,65,58,50,50,47,46,89,73,56,30,29,29,10,10,9.0,31,12.0,37,0.0,4.0,None,275
2010-05-14 00:00:00-07:00,2010-05-14 00:00:00-07:00,62,57,51,49,48,46,89,77,64,30,30,29,10,10,10.0,26,14.0,32,0.0,7.0,None,264
2010-05-15 00:00:00-07:00,2010-05-15 00:00:00-07:00,64,57,50,49,47,46,86,75,64,30,30,29,10,10,9.0,25,14.0,30,0.0,6.0,None,286
2010-05-16 00:00:00-07:00,2010-05-16 00:00:00-07:00,60,55,50,47,46,45,86,74,62,30,29,29,10,10,10.0,24,13.0,29,0.0,8.0,None,263
2010-05-17 00:00:00-07:00,2010-05-17 00:00:00-07:00,59,56,52,53,50,46,93,83,72,29,29,29,10,10,9.0,14,7.0,22,0,8.0,Rain,174
2010-05-18 00:00:00-07:00,2010-05-18 00:00:00-07:00,66,60,53,54,51,47,100,78,56,30,30,29,10,10,5.0,23,9.0,28,0,7.0,Rain,292
2010-05-19 00:00:00-07:00,2010-05-19 00:00:00-07:00,65,58,51,53,48,44,89,71,52,30,30,30,10,10,7.0,21,9.0,24,2015-04-01 00:00:00,5.0,Rain,268
2010-05-20 00:00:00-07:00,2010-05-20 00:00:00-07:00,65,58,50,50,44,41,89,67,44,30,30,30,10,10,10.0,36,17.0,43,0.0,2.0,None,281
2010-05-21 00:00:00-07:00,2010-05-21 00:00:00-07:00,61,56,50,47,44,40,80,69,57,30,30,30,10,10,6.0,29,19.0,35,2015-04-01 00:00:00,5.0,Rain,276
2010-05-22 00:00:00-07:00,2010-05-22 00:00:00-07:00,61,55,48,41,39,36,71,56,40,30,30,29,10,10,10.0,32,18.0,38,0.0,3.0,None,278
2010-05-23 00:00:00-07:00,2010-05-23 00:00:00-07:00,63,55,47,44,42,37,77,60,43,30,29,29,10,10,10.0,44,20.0,56,0.0,3.0,None,278
2010-05-24 00:00:00-07:00,2010-05-24 00:00:00-07:00,65,59,52,47,45,43,83,66,48,30,30,30,10,10,10.0,17,8.0,23,2015-04-01 00:00:00,7.0,Rain,227
2010-05-25 00:00:00-07:00,2010-05-25 00:00:00-07:00,61,58,55,54,51,46,93,79,64,30,29,29,10,10,8.0,18,8.0,32,0,7.0,Rain,176
2010-05-26 00:00:00-07:00,2010-05-26 00:00:00-07:00,67,60,53,52,48,39,93,65,37,29,29,29,10,10,10.0,20,6.0,23,0,6.0,None,253
2010-05-27 00:00:00-07:00,2010-05-27 00:00:00-07:00,63,58,53,52,47,44,77,66,55,30,29,29,10,9,2.0,23,11.0,32,0,6.0,Rain,202
2010-05-28 00:00:00-07:00,2010-05-28 00:00:00-07:00,64,58,51,49,48,46,83,70,56,30,30,30,10,10,10.0,25,13.0,30,0.0,3.0,None,273
2010-05-29 00:00:00-07:00,2010-05-29 00:00:00-07:00,74,63,52,50,47,42,83,58,33,30,30,30,10,10,10.0,35,10.0,41,0.0,1.0,None,284
2010-05-30 00:00:00-07:00,2010-05-30 00:00:00-07:00,76,65,53,52,49,47,83,66,49,30,29,29,10,10,10.0,32,14.0,36,0.0,2.0,None,288
2010-05-31 00:00:00-07:00,2010-05-31 00:00:00-07:00,67,61,55,56,52,48,93,80,67,30,29,29,10,9,5.0,28,15.0,33,0.0,6.0,None,272
2010-06-01 00:00:00-07:00,2010-06-01 00:00:00-07:00,66,60,53,55,51,47,100,78,56,30,30,30,10,8,2.0,26,14.0,33,0.0,6.0,None,264
2010-06-02 00:00:00-07:00,2010-06-02 00:00:00-07:00,71,63,55,56,54,52,93,77,61,30,30,30,10,10,10.0,24,10.0,28,0.0,6.0,None,295
2010-06-03 00:00:00-07:00,2010-06-03 00:00:00-07:00,74,68,61,59,57,57,90,74,57,30,30,29,10,10,10.0,21,10.0,25,0.0,6.0,None,283
2010-06-04 00:00:00-07:00,2010-06-04 00:00:00-07:00,76,69,62,61,59,57,93,77,60,30,30,29,10,10,10.0,25,9.0,30,0.0,5.0,None,249
